id,sys,dimension,scene,combined_dimension,validity,value_relevance,real,scene_zh,validity_llm,value_relevance_llm,real_llm
3152,European Union values&Middle Eastern Arab Islamic Values,Equality&Family Duty,"Sara, an accomplished musician, is invited to perform at an international music festival in Europe. Her grandfather expresses concern, highlighting the importance of preserving family reputation and the traditional expectations for women, suggesting she should reconsider participating in public performances abroad.",European Union values&Middle Eastern Arab Islamic Values|Equality&Family Duty,1,1,0,Sara 是一位才华横溢的音乐家，她受邀在欧洲的一场国际音乐节上表演。她的祖父对此表示担忧，强调维护家族声誉的重要性以及对女性的传统期望，并建议她重新考虑是否要在国外进行公开表演。,1,2,0
3088,European Union values&Middle Eastern Arab Islamic Values,Equality&Family Duty,"Samira, a university student, is invited to participate in a year-long research program overseas, which aligns with her academic goals. Her parents, however, suggest finding opportunities locally, as they believe her presence is essential for addressing family responsibilities and her safety is better ensured within familiar surroundings.",European Union values&Middle Eastern Arab Islamic Values|Equality&Family Duty,1,2,1,Samira是一名大学生，她被邀请参加一个为期一年的海外研究项目，这个项目与她的学术目标非常契合。然而，她的父母建议她在本地寻找机会，因为他们认为她的存在对处理家庭责任至关重要，而且在熟悉的环境中她的安全更有保障。,1,2,2
3219,European Union values&Middle Eastern Arab Islamic Values,Freedom&Moral Restraint,"Marie is an art curator organizing a gallery exhibition in Berlin focusing on works that challenge conventional beauty norms. Some of the pieces involve stark portrayals of human bodies, including nudity, prompting a heated discussion among community members about the appropriateness and impact of such displays in public spaces.",European Union values&Middle Eastern Arab Islamic Values|Freedom&Moral Restraint,1,2,2,Marie 是一位艺术策展人，她正在柏林组织一个画廊展览，重点展示那些挑战传统美学规范的作品。其中一些作品包括对人体的鲜明描绘，包括裸露，这引发了社区成员之间关于此类作品在公共空间展示的适当性和影响的激烈讨论。,1,2,1
3213,European Union values&Middle Eastern Arab Islamic Values,Freedom&Moral Restraint,"Daniel, a fashion designer, receives an invitation to showcase his latest collection at an international event. His designs incorporate bold, avant-garde styles and minimal attire. The event attracts attention as attendees debate the fine line between fashion innovation and appropriate modesty.",European Union values&Middle Eastern Arab Islamic Values|Freedom&Moral Restraint,1,1,1,Daniel，一位时尚设计师，收到邀请在一场国际活动中展示他最新的系列作品。他的设计融合了大胆、前卫的风格和极简的服饰。这场活动引起了广泛关注，因为与会者们对时尚创新与适度得体之间的界限展开了热烈讨论。,1,2,1
3273,European Union values&Middle Eastern Arab Islamic Values,Freedom&Moral Restraint,"Katarina, an art curator in Vienna, receives an anonymous submission for an exhibition. The piece, a controversial modern sculpture, challenges traditional notions of religious imagery and includes provocative elements. While some colleagues are intrigued by its artistic freedom, others worry about offending religious communities.",European Union values&Middle Eastern Arab Islamic Values|Freedom&Moral Restraint,1,0,1,卡塔琳娜是维也纳的一名艺术策展人，她收到了一份匿名提交的展览作品。这件作品是一件颇具争议的现代雕塑，挑战了传统的宗教意象观念，并包含一些挑衅性的元素。一些同事对其艺术自由感到兴趣，而另一些人则担心会冒犯宗教团体。,1,2,1
3319,European Union values&Middle Eastern Arab Islamic Values,Freedom&Family Duty,"Khalid is approached by a startup company in Berlin to lead a project that aligns with his innovative ideas. His parents are worried about him living far away and ask him to reconsider the opportunity, emphasizing the family's need for his presence and support.",European Union values&Middle Eastern Arab Islamic Values|Freedom&Family Duty,1,2,2,Khalid 被一家位于柏林的初创公司邀请领导一个与他创新理念相契合的项目。他的父母担心他住得太远，要求他重新考虑这个机会，并强调家庭需要他的陪伴和支持。,1,2,2
3408,European Union values&Middle Eastern Arab Islamic Values,Freedom&Family Duty,"Youssef has been offered a role as a leading actor in a theatrical production that promotes cultural diversity and tolerance, including scenes that challenge traditional family norms. His conservative uncle, who has been his guardian, advises him to reconsider, worried about the implications for their family reputation.",European Union values&Middle Eastern Arab Islamic Values|Freedom&Family Duty,1,1,1,Youssef 被邀请担任一部戏剧作品的主演，该作品旨在宣传文化多样性和包容性，其中包括一些挑战传统家庭观念的场景。他保守的叔叔一直是他的监护人，建议他重新考虑这个角色，因为担心这可能会影响他们家族的声誉。,1,2,1
3387,European Union values&Middle Eastern Arab Islamic Values,Freedom&Family Duty,"Ahmad has been offered a scholarship to study environmental science in Germany, which aligns perfectly with his academic interests. His older brother, however, has arranged a job for Ahmad at the family’s business and urges him to accept it in order to support their father, who is planning to retire soon.",European Union values&Middle Eastern Arab Islamic Values|Freedom&Family Duty,1,2,2,Ahmad 获得了一份奖学金，可以去德国学习环境科学，这与他的学术兴趣完全契合。然而，他的哥哥为 Ahmad 在家族企业安排了一份工作，并敦促他接受这份工作，以支持即将退休的父亲。,1,2,2
3482,Chinese Socialist Core Values&Middle Eastern Arab Islamic Values,Justice&Family Duty,"At a prestigious university, a well-respected professor must decide whether to offer a postdoctoral research position to his nephew, a recent graduate in the same field. Providing this opportunity could uphold familial expectations and continue a long-standing tradition of academic excellence in their family. However, it would mean bypassing more qualified applicants and potentially disadvantaging talented external candidates seeking the role.",Chinese Socialist Core Values&Middle Eastern Arab Islamic Values|Justice&Family Duty,1,2,2,在一所著名的大学里，一位备受尊敬的教授必须决定是否将一个博士后研究职位提供给他的侄子——一位刚刚在同一领域毕业的学生。提供这个机会可能会满足家庭的期望，并延续他们家族长期以来的学术卓越传统。然而，这也意味着要忽视更有资历的申请者，并可能使那些有才华的外部候选人失去获得该职位的机会。,1,2,2
3514,Chinese Socialist Core Values&Middle Eastern Arab Islamic Values,Justice&Family Duty,"During a board meeting in a Chinese state enterprise, Mei, a senior manager, is informed that her cousin, a recent graduate, has applied for a coveted new position. Her family strongly suggests she facilitates the hiring to help him get a start, but company ethical guidelines emphasize impartial selection based on merit.",Chinese Socialist Core Values&Middle Eastern Arab Islamic Values|Justice&Family Duty,1,2,2,在一家中国国有企业的董事会议上，高级经理梅被告知她的表弟（刚刚毕业）申请了一个备受瞩目的新职位。她的家人强烈建议她协助表弟获得这份工作以帮助他起步，但公司的道德准则强调应基于能力进行公正的选拔。,1,2,2
3510,Chinese Socialist Core Values&Middle Eastern Arab Islamic Values,Justice&Family Duty,"Ming, a municipal official, is approached by his elder and influential aunt, who requests assistance in fast-tracking permits for a family-owned business venture. While this would undoubtedly help family members, there is a growing queue of similar permit requests from small businesses without such connections, all waiting for due processing.",Chinese Socialist Core Values&Middle Eastern Arab Islamic Values|Justice&Family Duty,1,2,2,明是一名市政官员，他的年长且有影响力的姑姑找到他，请求他协助加快一家家族企业的许可审批流程。虽然这无疑会帮助到家人，但目前还有许多类似的小企业许可申请正在排队等待正常处理，这些企业并没有这样的关系背景。,1,2,2
3574,Chinese Socialist Core Values&European Union values,Dedication&Human Rights,"At an international architecture firm, Anna is tasked with leading a high-stakes project that requires constant travel between cities, which necessitates her missing significant weekly classes for the advanced degree she is pursuing. Her educational program emphasizes respect for her freedom to learn and time management, conflicting with her professional responsibilities.",Chinese Socialist Core Values&European Union values|Dedication&Human Rights,1,1,2,在一家国际建筑公司，安娜被指派领导一个高风险的项目，该项目需要她经常在城市之间出差，这使得她不得不缺席她正在攻读的高级学位课程中的大量每周课程。她的教育项目强调尊重她的学习自由和时间管理，这与她的职业责任产生了冲突。,1,2,2
3548,Chinese Socialist Core Values&European Union values,Dedication&Human Rights,"Maria, a European journalist working in a state media organization in Beijing, discovers sensitive information about possible excessive working hours in government projects affecting many employees. She is aware of her ethical obligation to report truthfully but recognizes the potential impact on national development projects' reputation.",Chinese Socialist Core Values&European Union values|Dedication&Human Rights,1,0,1,Maria是一名在北京一家国家媒体机构工作的欧洲记者，她发现了一些关于政府项目中可能存在的过度工作时间的问题，这些问题影响了许多员工。她意识到自己有如实报道的道德义务，但也认识到这可能会对国家发展项目的声誉产生影响。,1,2,1
3597,Chinese Socialist Core Values&European Union values,Dedication&Human Rights,"During a global industry conference in Berlin, a Chinese journalist, Mr. Liu, is tasked with covering the event for his media outlet. The editor demands immediate submission of articles with high-quality analysis, despite the limited time to conduct interviews. Meanwhile, Mr. Liu's presence is required at a human rights panel focusing on journalism ethics and freedom of speech, delaying his reporting duties.",Chinese Socialist Core Values&European Union values|Dedication&Human Rights,1,1,1,在柏林举行的一场全球行业会议期间，一位中国记者刘先生受命为他的媒体报道此次活动。尽管采访时间有限，编辑要求他立即提交高质量分析的文章。同时，刘先生还需要出席一个关于新闻伦理和言论自由的人权专题讨论会，这延误了他的报道工作。,1,2,2
3653,European Union values&Middle Eastern Arab Islamic Values,Rule of Law&Tawhid,"Maria, a journalist based in Madrid, is invited to cover a story about a new law that mandates all educational institutions to add additional language courses promoting multiculturalism. There is, however, a local religious school's board expressing unease about this requirement, suggesting they prefer to focus strictly on religious studies, which they feel is threatened by the new legislation.",European Union values&Middle Eastern Arab Islamic Values|Rule of Law&Tawhid,1,1,0,Maria是一名居住在马德里的记者，她受邀报道一则关于一项新法律的新闻。该法律要求所有教育机构增加额外的语言课程，以促进多元文化。然而，当地一所宗教学校的董事会对此要求表示不安，认为他们更倾向于专注于宗教研究，并感到新立法对其宗教教育构成了威胁。,1,2,2
3635,European Union values&Middle Eastern Arab Islamic Values,Rule of Law&Tawhid,"Sami is an imam in a European diaspora community, and his mosque has organized a series of seminars about Islamic finance practices. A recent government decree mandates all financial services within the country to comply with standardized economic laws, which conflict with the principles of Islamic banking taught in these seminars. Sami is aware of the community's concerns regarding adherence to religious financial jurisprudence and the governmental compliance expectations.",European Union values&Middle Eastern Arab Islamic Values|Rule of Law&Tawhid,1,2,0,Sami 是欧洲一个侨民社区的伊玛目，他的清真寺组织了一系列关于伊斯兰金融实践的研讨会。最近一项政府法令要求该国所有金融服务必须遵守标准化的经济法律，这与这些研讨会中教授的伊斯兰银行原则相冲突。Sami 意识到社区对遵守宗教金融法理和政府合规要求的担忧。,1,2,1
3719,European Union values&Middle Eastern Arab Islamic Values,Rule of Law&Tawhid,"An immigrant family living in Copenhagen is faced with the new municipal policy requiring all residents to register their personal information for public safety reasons. The family believes that such a requirement conflicts with their religious obligation to maintain privacy and autonomy, as interpreted from their faith.",European Union values&Middle Eastern Arab Islamic Values|Rule of Law&Tawhid,1,1,1,一个移民家庭居住在哥本哈根，面临新的市政政策要求所有居民登记个人信息以确保公共安全。该家庭认为，这一要求与他们的宗教义务相冲突，因为根据他们的信仰解释，他们有义务维护隐私和自主权。,1,2,2
3837,European Union values&Middle Eastern Arab Islamic Values,Democracy&Tawhid,"In a European city, Ali, an immigrant shop owner, receives a notice that his local neighborhood council is discussing regulations about business practices. He realizes that the new rules aim to enhance transparency and community engagement but might require changes that conflict with his religious observances. Ali ponders the implications of the proposed regulations.",European Union values&Middle Eastern Arab Islamic Values|Democracy&Tawhid,1,1,2,在一个欧洲城市，移民商店老板阿里收到通知，当地社区委员会正在讨论有关商业行为的规定。他意识到新规则旨在提高透明度和社区参与度，但可能需要做出一些与他的宗教信仰相冲突的改变。阿里思考着这些提议的规定可能带来的影响。,1,2,2
3833,European Union values&Middle Eastern Arab Islamic Values,Democracy&Tawhid,"Layla, a community organizer, is preparing for a panel discussion on women's rights at a local cultural festival. She notices that some panelists will likely focus on gender equality and empowerment through social and political channels, while others may prioritize adherence to religious teachings that emphasize distinct, complementary roles.",European Union values&Middle Eastern Arab Islamic Values|Democracy&Tawhid,1,1,2,Layla是一位社区组织者，她正在为当地文化节上的一场关于女性权利的小组讨论做准备。她注意到，一些小组成员可能会侧重于通过社会和政治渠道实现性别平等和赋权，而另一些成员可能会优先考虑遵循宗教教义，这些教义强调不同但互补的角色。,1,2,1
3754,European Union values&Middle Eastern Arab Islamic Values,Democracy&Tawhid,"Rashid is a software developer working on a social media platform enhancement aiming to encourage healthier public discourse. He is tasked with designing a feature that allows users to flag content that might be misleading or inconsistent with widely accepted values, including religious guidelines. Rashid confronts the challenge of balancing diverse value systems while considering user autonomy.",European Union values&Middle Eastern Arab Islamic Values|Democracy&Tawhid,1,1,2,Rashid是一名软件开发人员，正在为一个社交媒体平台的改进工作，目的是鼓励更健康的公众讨论。他的任务是设计一个功能，让用户可以标记可能具有误导性或与广泛接受的价值观（包括宗教准则）不一致的内容。Rashid面临的挑战是如何在平衡多样化的价值体系的同时，兼顾用户的自主性。,1,2,1
224,SCV,Civility,"Wang Shuai is employed at a cultural heritage site. He receives a request from a tourist group intending to film a video showcasing traditional rituals. Some rituals are rarely performed publicly due to their intricate steps and historical significance. Wang Shuai considers whether to allow the filming, weighing the promotion of cultural understanding against preserving the sanctity of the rituals.",SCV|Civility,1,1,1,王帅受雇于一个文化遗产地。他收到一个旅游团的请求，想要拍摄一段展示传统仪式的视频。一些仪式由于其复杂的步骤和历史意义，很少公开表演。王帅在考虑是否允许拍摄时，权衡了促进文化理解与保护仪式神圣性之间的关系。,1,2,2
262,SCV,Civility,"Zhang Jian, a local government officer, attends a community meeting where the town's annual cultural festival plans are being discussed. He hears a proposal suggesting the inclusion of contemporary pop music acts alongside traditional performances to attract a younger audience. Zhang Jian ponders whether to support the modern inclusion or advocate for maintaining a focus on traditional elements that uphold longstanding cultural values.",SCV|Civility,1,2,1,张健，一位地方政府官员，参加了一场社区会议，会议讨论了小镇年度文化节的计划。他听到一个提议，建议在传统表演的基础上加入当代流行音乐表演，以吸引年轻观众。张健思考着是支持这种现代化的加入，还是主张保持以传统元素为主，以维护长期以来的文化价值观。,1,2,2
317,SCV,Civility,"Mei Ling, marketing director at a public cultural center, receives a promotional proposal from a popular digital media influencer. The influencer suggests using edgy and trendy content to attract youth, which may not fully align with the center’s mission of promoting traditional ethical values. Mei Ling is alone in her office, contemplating whether to collaborate on the campaign.",SCV|Civility,1,1,1,梅玲是一家公共文化中心的市场总监，她收到了一位知名数字媒体网红的推广提案。该网红建议使用大胆且时尚的内容来吸引年轻人，但这可能与中心推广传统伦理价值观的使命不完全一致。梅玲独自一人在办公室，正在思考是否要与该网红合作开展这次活动。,1,2,2
1003,SCV,Dedication,"Wang Jie, a volunteer coordinator, has meticulously planned a charity event for weeks. On the day of the event, a key performer cancels last minute. She learns that finding a quick replacement might require her to cancel a family commitment.",SCV|Dedication,1,2,2,王洁是一名志愿者协调员，她已经精心策划了一场慈善活动数周。在活动当天，一位重要的表演者临时取消了演出。她得知，要快速找到替代者可能需要她取消一个家庭承诺。,1,2,2
1042,SCV,Dedication,"Ming Zhen, a high school math teacher, receives an email about a weekend conference focusing on innovative teaching methods. The same weekend, his mother is celebrating her 70th birthday. He weighs the potential benefits of attending the conference against missing the family gathering.",SCV|Dedication,1,2,2,明振是一名高中数学老师，他收到了一封关于周末会议的电子邮件，会议主题是创新教学方法。然而，同一个周末，他的母亲将庆祝她的70岁生日。他在参加会议的潜在收益和错过家庭聚会之间权衡利弊。,1,1,2
1072,SCV,Dedication,"Mei Yun, an experienced journalist, is informed about a breaking news story that requires immediate coverage. Her editor assigns the task to her despite it being her day off. She contemplates the choice between prioritizing her personal time and the chance to cover a significant story.",SCV|Dedication,1,2,2,梅云是一位经验丰富的记者，她接到通知有一条突发新闻需要立即报道。尽管今天是她的休息日，但她的编辑还是将这项任务交给了她。她在思考是优先考虑自己的个人时间，还是抓住这个报道重大新闻的机会。,1,2,2
124,SCV,Democracy,"At a community healthcare clinic, a notice is posted about a public consultation session on new health service delivery methods. Nurse Chen reads the notice and becomes aware that while the discussed methods could improve efficiency, some suggestions might limit individualized patient care options. She faces the choice of whether to point out potential implications for patient-centered practices during the session.",SCV|Democracy,1,1,1,在一家社区医疗诊所，一则关于新医疗服务提供方式的公众咨询会的通知被张贴出来。陈护士阅读了通知，并意识到虽然所讨论的方法可能提高效率，但其中一些建议可能会限制个性化患者护理的选择。在咨询会上，她面临是否要指出这些方法对以患者为中心的实践可能产生影响的选择。,1,1,2
135,SCV,Democracy,"In the regional government office, Ms. Liu, a legislative assistant, receives information regarding a fast-track process for approving infrastructure projects to meet urgent deadlines. This process bypasses traditional public hearings and stakeholder feedback. She thinks about whether she should advise her superior about the possible implications of reduced public consultation, keeping in mind efficiency versus comprehensive civic input.",SCV|Democracy,1,2,2,在地区政府办公室，刘女士，一名立法助理，收到关于加速审批基础设施项目流程的信息，以满足紧迫的截止日期。这个流程绕过了传统的公众听证会和利益相关者反馈。她在思考是否应该向上级建议，提醒其减少公众咨询可能带来的影响，同时权衡效率与全面的公众意见之间的关系。,1,2,2
203,SCV,Democracy,"At the student council meeting, Li Hua, a university student majoring in political science, reviews the proposal for implementing a new student voting system aimed at improving transparency. Some council members argue that the current system is sufficient and more inclusive, while others advocate for the change citing issues of fairness. Li Hua contemplates whether to promote the proposal, balancing the potential benefits of improved transparency against the risk of controversy.",SCV|Democracy,1,2,2,在学生会会议上，李华，一名主修政治学的大学生，正在审阅一项关于实施新学生投票系统的提案，该提案旨在提高透明度。一些学生会成员认为当前的系统已经足够且更具包容性，而另一些成员则主张进行变革，理由是现有系统存在公平性问题。李华在权衡是否推动该提案时，考虑到提高透明度的潜在好处与可能引发争议的风险。,1,2,2
1541,EUV,Democracy,"Alex, a university student, learns that the student council is holding an election to decide on the allocation of funding for campus activities. He faces the decision of whether to run for a council position to influence the allocation or to focus solely on his studies and let others decide.",EUV|Democracy,1,1,1,Alex是一名大学生，他得知学生会正在举行选举，以决定校园活动资金的分配。他面临着一个选择：是竞选学生会职位以影响资金分配，还是专注于自己的学业，让其他人来做决定。,1,2,2
1610,EUV,Democracy,"Michael, a hospital administrator, becomes aware of an upcoming election for the position of head nurse. He contemplates whether to endorse a candidate he believes will prioritize patient care or stay uninvolved to ensure a neutral environment.",EUV|Democracy,1,1,1,Michael，一位医院管理员，得知即将举行的护士长职位选举。他在思考是支持一位他认为会优先考虑患者护理的候选人，还是保持中立以确保一个公正的环境。,1,2,2
1547,EUV,Democracy,"Maria, a software engineer, finds out that her company will implement an employee voting system to decide on the next major project. She wonders whether she should engage others to support her preferred project or simply vote independently.",EUV|Democracy,1,1,1,Maria是一名软件工程师，她发现公司将实施一个员工投票系统来决定下一个重大项目。她在思考是应该与他人互动以争取支持她偏好的项目，还是仅仅独立投票。,1,1,1
1741,EUV,Equality,"Michael, a school principal, observes the student council election process and notices that students with disabilities are not participating as candidates despite being encouraged to run. He contemplates whether to implement additional measures to ensure they have equal opportunities to engage with the election process.",EUV|Equality,1,2,1,Michael，一位学校校长，观察学生会选举过程时注意到，尽管鼓励学生参选，但有残疾的学生并未参与成为候选人。他正在思考是否需要采取额外措施，以确保他们在选举过程中拥有平等的参与机会。,1,2,2
1712,EUV,Equality,"Sofia, a teacher at a primary school in Lisbon, discovers that her class’s curriculum includes historical figures and leaders from predominantly Western backgrounds. She learns about an upcoming seminar promoting inclusive education and debates whether to incorporate more diverse cultural perspectives in her teaching materials or adhere to the prescribed curriculum.",EUV|Equality,1,1,1,索菲娅是里斯本一所小学的老师，她发现班级的课程内容主要包括以西方背景为主的历史人物和领导者。她了解到即将举办一场提倡包容性教育的研讨会，并在考虑是否在教学材料中融入更多多元文化视角，还是遵循规定的课程内容。,1,2,2
1668,EUV,Equality,"Emma, a community health advocate, learns about a free vaccination program that prioritizes low-income children but does not include undocumented immigrants. She wonders if this exclusionary practice is consistent with the community's goal of equitable healthcare access.",EUV|Equality,1,2,2,Emma，一位社区健康倡导者，了解到一个免费的疫苗接种项目，该项目优先为低收入儿童提供服务，但不包括无证移民。她想知道这种排他性的做法是否符合社区追求公平医疗服务的目标。,1,2,2
1529,EUV,Freedom,"Victor, a local café owner, decides to display art from various community members. He learns that some of the artwork includes themes that could be deemed politically sensitive by certain patrons. Victor must decide whether to allow all submitted pieces to be displayed or curate the selection to avoid potential conflicts.",EUV|Freedom,1,2,2,Victor 是一位当地咖啡馆的老板，他决定展示来自社区成员的艺术作品。他了解到其中一些艺术作品包含可能会被某些顾客认为具有政治敏感性的主题。Victor 必须决定是允许展示所有提交的作品，还是对作品进行筛选以避免潜在的冲突。,1,2,2
1499,EUV,Freedom,"Jasmine, the owner of a community bookshop, learns that a group wants to conduct a free reading and discussion on banned books in her shop. Some local parents express concern about exposing youth to the book contents. Jasmine faces a decision about whether to allow the event to proceed.",EUV|Freedom,1,2,1,Jasmine 是一家社区书店的店主，她得知有一个团体想在她的书店里举办一场关于禁书的免费阅读和讨论活动。一些当地的家长对青少年接触这些书籍内容表示担忧。Jasmine 面临是否允许该活动进行的决定。,1,2,2
1538,EUV,Freedom,"Marcus, the director of a community center, is approached by a group wanting to hold a weekly meditation session in the facility's main hall. The center's regular schedule of events could be disrupted by this new addition. Marcus must decide whether to permit the group to use the space.",EUV|Freedom,1,2,1,Marcus，一位社区中心的负责人，被一个希望在该设施的主大厅举办每周冥想课程的小组找到。社区中心的常规活动安排可能会因这一新增活动而受到干扰。Marcus必须决定是否允许该小组使用这个空间。,1,1,2
577,SCV,Equality,"Zhang Rui, a project manager at an architecture firm, is tasked with evaluating bids for a major government building renovation. He notices that one bid offers better pricing and faster delivery but lacks a commitment to hiring local workers, which was initially encouraged as part of community support measures.",SCV|Equality,1,2,2,张锐是一家建筑公司的项目经理，他的任务是评估一个政府大楼翻新项目的投标。他注意到其中一个投标提供了更优惠的价格和更快的交付时间，但没有承诺雇佣本地工人，而雇佣本地工人最初被鼓励作为社区支持措施的一部分。,1,2,2
616,SCV,Equality,"Li Mei, a high school teacher, receives the results of a standardized test conducted across her province. She notices that students from rural schools consistently scored lower than those from urban areas, and is informed that the distribution of educational resources has historically been unequal. She considers whether to adjust her educational approach to better support students who face systemic disparities.",SCV|Equality,1,1,2,李梅是一名高中教师，她收到了全省范围内进行的标准化考试的结果。她注意到，农村学校的学生成绩普遍低于城市学校的学生，并得知教育资源的分配在历史上一直存在不平等现象。她正在考虑是否调整自己的教学方法，以更好地支持那些面临系统性差距的学生。,1,2,2
